"CO2 emisija, g/km",Color,Body type,Price,Catalytic converter,Tinted windows,First registration,Driven wheels,Fuel type,LED headlights,ESP,Fog lights,Number of seats,Mileage,Gearbox,Alarm,Electric mirrors,Heated mirrors,Lane Departure Warning,Fuel consuption Urban l/100 km,Boot cover,Start-Stop system,Tow hook,LED daytime running lights,Immobilizer,Hill-start assist control,Multifunctional steering wheel,Adaptive Cruise Control,Automatic headlamps,LCD monitor,MP3 player,Road sign recognition,Dimming mirror,AUX input,URL,ISOFIX mounts,Fuel consuption combined l/100 km,Rainfall sensor,Traction control system,Rear view camera,Cruise control,First registration country,Electric seats,Fuel consuption out-of-city l/100 km,Make,Model,Engine Power KW,Engine size in Cm3,car_id
0,Blue,Passenger minibus,1350,0,0,2007,0,Diesel,0,0,0,0,353744,Manual,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Mercedes-Benz,Vito,116.0,Low,966
0,Green / olive,Wagon,1350,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,299200,Manual,0,0,0,0,"7,5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Germany,0,48,Toyota,Avensis,81.0,Low,967
162,Gray / silver,MPV / minivan,1350,0,0,2004,Front wheel drive (FWD),Diesel,0,0,0,5,255000,Manual,1,0,1,0,"7,6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,6,0,0,0,1,Belgium,0,52,Volkswagen,Touran,100.0,Low,968
185,Gray / silver,Off-road / Crossover,1350,0,1,2006,All wheel (4х4),Diesel,0,1,1,5,240166,Manual,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,0,1,0,0,0,Italy,1,0,Toyota,RAV4,130.0,Very Low,969
170,0,Wagon,1350,0,0,2003,All wheel (4х4),Diesel,0,0,0,5,250000,Manual,0,0,0,0,"8,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,3",0,0,0,0,0,0,51,Volkswagen,Bora,74.0,Low,970
0,Green / olive,Wagon,1350,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,299200,Manual,0,0,0,0,"7,5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Germany,0,48,Toyota,Avensis,81.0,Low,971
162,Gray / silver,MPV / minivan,1350,0,0,2004,Front wheel drive (FWD),Diesel,0,0,0,5,255000,Manual,1,0,1,0,"7,6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,6,0,0,0,1,Belgium,0,52,Volkswagen,Touran,100.0,Low,972
0,Black,Wagon,1350,1,1,2004,Front wheel drive (FWD),Diesel,0,1,0,5,280000,Manual,0,1,1,0,"7,7",1,0,1,0,1,0,1,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,6,1,0,0,1,0,0,51,Toyota,Avensis,85.0,Low,973
190,Black,Saloon / sedan,1350,0,0,2002,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,200000,Automatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,USA,0,0,Volkswagen,Jetta,116.0,Low,974
143,Black,Saloon / sedan,1350,0,0,1994,0,Diesel,0,0,0,0,350000,Manual,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Audi,100,85.0,Low,975
170,0,Wagon,1350,0,0,2003,All wheel (4х4),Diesel,0,0,0,5,250000,Manual,0,0,0,0,"8,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,3",0,0,0,0,0,0,51,Volkswagen,Bora,74.0,Low,976
120,Green / olive,Hatchback,1350,1,0,2007,Front wheel drive (FWD),Diesel,0,1,1,5,289000,Manual,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,1,0,0,0,0,0,Peugeot,207,50.0,Very Low,977
169,Black,Saloon / sedan,1350,0,0,2002,Front wheel drive (FWD),Diesel,0,0,0,5,357900,Manual,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,5",1,0,0,1,0,0,0,Volvo,S60,120.0,Low,978
0,Blue,Passenger minibus,1350,0,0,2007,0,Diesel,0,0,0,0,353744,Manual,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Mercedes-Benz,Vito,116.0,Low,979
0,Green / olive,Wagon,1350,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,299200,Manual,0,0,0,0,"7,5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Germany,0,48,Toyota,Avensis,81.0,Low,980
162,Gray / silver,MPV / minivan,1350,0,0,2004,Front wheel drive (FWD),Diesel,0,0,0,5,255000,Manual,1,0,1,0,"7,6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,6,0,0,0,1,Belgium,0,52,Volkswagen,Touran,100.0,Low,981
185,Gray / silver,Off-road / Crossover,1350,0,1,2006,All wheel (4х4),Diesel,0,1,1,5,240166,Manual,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,0,1,0,0,0,Italy,1,0,Toyota,RAV4,130.0,Very Low,982
170,0,Wagon,1350,0,0,2003,All wheel (4х4),Diesel,0,0,0,5,250000,Manual,0,0,0,0,"8,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,3",0,0,0,0,0,0,51,Volkswagen,Bora,74.0,Low,983
0,Green / olive,Wagon,1350,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,299200,Manual,0,0,0,0,"7,5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Germany,0,48,Toyota,Avensis,81.0,Low,984
162,Gray / silver,MPV / minivan,1350,0,0,2004,Front wheel drive (FWD),Diesel,0,0,0,5,255000,Manual,1,0,1,0,"7,6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,6,0,0,0,1,Belgium,0,52,Volkswagen,Touran,100.0,Low,985
0,Black,Wagon,1350,1,1,2004,Front wheel drive (FWD),Diesel,0,1,0,5,280000,Manual,0,1,1,0,"7,7",1,0,1,0,1,0,1,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,6,1,0,0,1,0,0,51,Toyota,Avensis,85.0,Low,986
190,Black,Saloon / sedan,1350,0,0,2002,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,200000,Automatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,USA,0,0,Volkswagen,Jetta,116.0,Low,987
143,Black,Saloon / sedan,1350,0,0,1994,0,Diesel,0,0,0,0,350000,Manual,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Audi,100,85.0,Low,988
130,Gray / silver,Coupe,1370,1,1,2004,Rear wheel drive (RWD),Diesel,0,0,1,5,448500,Manual,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,https://en.autoplius.lt/ads/bmw-318-2-0-l-coupe-2004-diesel-27201059.html,0,0,0,0,0,1,0,0,0,BMW,318,85.0,Low,989
130,Gray / silver,Coupe,1370,1,1,2004,Rear wheel drive (RWD),Diesel,0,0,1,5,448500,Manual,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,1,0,0,0,BMW,318,85.0,Low,990
130,Gray / silver,Coupe,1370,1,1,2004,Rear wheel drive (RWD),Diesel,0,0,1,5,448500,Manual,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,1,0,0,0,BMW,318,85.0,Low,991
130,Gray / silver,Coupe,1370,1,1,2004,Rear wheel drive (RWD),Diesel,0,0,1,5,448500,Manual,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,1,0,0,0,BMW,318,85.0,Low,992
130,Blue,Hatchback,1377,1,1,2005,Front wheel drive (FWD),Petrol,0,1,0,4,160000,Manual,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volkswagen-fox-1-2-l-hatchback-2005-petrol-26645141.html,1,"6,1",0,1,0,0,Germany,0,51,Volkswagen,Fox,40.0,Very Low,993
130,Blue,Hatchback,1377,1,1,2005,Front wheel drive (FWD),Petrol,0,1,0,4,160000,Manual,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,"6,1",0,1,0,0,Germany,0,51,Volkswagen,Fox,40.0,Very Low,994
130,Blue,Hatchback,1377,1,1,2005,Front wheel drive (FWD),Petrol,0,1,0,4,160000,Manual,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,"6,1",0,1,0,0,Germany,0,51,Volkswagen,Fox,40.0,Very Low,995
130,Blue,Hatchback,1377,1,1,2005,Front wheel drive (FWD),Petrol,0,1,0,4,160000,Manual,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,"6,1",0,1,0,0,Germany,0,51,Volkswagen,Fox,40.0,Very Low,996
149,Gray / silver,Wagon,1390,0,0,2003,Rear wheel drive (RWD),Diesel,0,0,0,5,380000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/mercedes-benz-c220-2-2-l-wagon-2003-diesel-27200823.html,0,"5,2",0,0,0,0,Germany,0,0,Mercedes-Benz,C220,105.0,Very Low,997
149,Gray / silver,Wagon,1390,0,0,2003,Rear wheel drive (RWD),Diesel,0,0,0,5,380000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/mercedes-benz-c220-2-2-l-wagon-2003-diesel-27200823.html,0,"5,2",0,0,0,0,Germany,0,0,Mercedes-Benz,C220,105.0,Very Low,998
149,Gray / silver,Wagon,1390,0,0,2003,Rear wheel drive (RWD),Diesel,0,0,0,5,380000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"5,2",0,0,0,0,Germany,0,0,Mercedes-Benz,C220,105.0,Very Low,999
149,Gray / silver,Wagon,1390,0,0,2003,Rear wheel drive (RWD),Diesel,0,0,0,5,380000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"5,2",0,0,0,0,Germany,0,0,Mercedes-Benz,C220,105.0,Very Low,1000
149,Gray / silver,Wagon,1390,0,0,2003,Rear wheel drive (RWD),Diesel,0,0,0,5,380000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"5,2",0,0,0,0,Germany,0,0,Mercedes-Benz,C220,105.0,Very Low,1001
149,Gray / silver,Wagon,1390,0,0,2003,Rear wheel drive (RWD),Diesel,0,0,0,5,380000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"5,2",0,0,0,0,Germany,0,0,Mercedes-Benz,C220,105.0,Very Low,1002
149,Gray / silver,Wagon,1390,0,0,2003,Rear wheel drive (RWD),Diesel,0,0,0,5,380000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"5,2",0,0,0,0,Germany,0,0,Mercedes-Benz,C220,105.0,Very Low,1003
149,Gray / silver,Wagon,1390,0,0,2003,Rear wheel drive (RWD),Diesel,0,0,0,5,380000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"5,2",0,0,0,0,Germany,0,0,Mercedes-Benz,C220,105.0,Very Low,1004
166,Gray / silver,Hatchback,1395,1,0,2003,Front wheel drive (FWD),Petrol,0,1,0,5,223000,Manual,0,0,0,0,"9,4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volkswagen-golf-1-4-l-hatchback-2003-petrol-26917109.html,0,"6,9",0,1,0,0,Germany,0,55,Volkswagen,Golf,55.0,Very Low,1005
166,Gray / silver,Hatchback,1395,1,0,2003,Front wheel drive (FWD),Petrol,0,1,0,5,223000,Manual,0,0,0,0,"9,4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,9",0,1,0,0,Germany,0,55,Volkswagen,Golf,55.0,Very Low,1006
166,Gray / silver,Hatchback,1395,1,0,2003,Front wheel drive (FWD),Petrol,0,1,0,5,223000,Manual,0,0,0,0,"9,4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,9",0,1,0,0,Germany,0,55,Volkswagen,Golf,55.0,Very Low,1007
166,Gray / silver,Hatchback,1395,1,0,2003,Front wheel drive (FWD),Petrol,0,1,0,5,223000,Manual,0,0,0,0,"9,4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,9",0,1,0,0,Germany,0,55,Volkswagen,Golf,55.0,Very Low,1008
154,Gray / silver,Saloon / sedan,1399,1,0,2005,Front wheel drive (FWD),Diesel,0,1,1,5,366594,Manual,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,https://en.autoplius.lt/ads/nissan-micra-1-0-l-hatchback-2002-petrol-27163613.html,0,0,1,0,0,1,Germany,0,0,Volkswagen,Passat,77.0,Low,1009
0,Gray / silver,Hatchback,1399,1,0,2002,Front wheel drive (FWD),Petrol,0,1,0,5,200000,Manual,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/nissan-micra-1-0-l-hatchback-2002-petrol-27163613.html,0,0,0,1,0,0,Germany,0,0,Nissan,Micra,116.0,Low,1010
154,Gray / silver,Saloon / sedan,1399,1,0,2005,Front wheel drive (FWD),Diesel,0,1,1,5,366594,Manual,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,0,0,1,Germany,0,0,Volkswagen,Passat,77.0,Low,1011
0,Gray / silver,Hatchback,1399,1,0,2002,Front wheel drive (FWD),Petrol,0,1,0,5,200000,Manual,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,1,0,0,Germany,0,0,Nissan,Micra,116.0,Low,1012
154,Gray / silver,Saloon / sedan,1399,1,0,2005,Front wheel drive (FWD),Diesel,0,1,1,5,366594,Manual,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,0,0,1,Germany,0,0,Volkswagen,Passat,77.0,Low,1013
0,Gray / silver,Hatchback,1399,1,0,2002,Front wheel drive (FWD),Petrol,0,1,0,5,200000,Manual,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,1,0,0,Germany,0,0,Nissan,Micra,116.0,Low,1014
154,Gray / silver,Saloon / sedan,1399,1,0,2005,Front wheel drive (FWD),Diesel,0,1,1,5,366594,Manual,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,0,0,1,Germany,0,0,Volkswagen,Passat,77.0,Low,1015
0,Gray / silver,Hatchback,1399,1,0,2002,Front wheel drive (FWD),Petrol,0,1,0,5,200000,Manual,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,1,0,0,Germany,0,0,Nissan,Micra,116.0,Low,1016
129,Gray / silver,Hatchback,1400,1,0,2003,Front wheel drive (FWD),Petrol,0,1,0,5,100000,Automatic,0,1,0,0,"6,4",0,0,0,0,1,1,1,0,0,0,1,0,0,0,https://en.autoplius.lt/ads/toyota-yaris-1-0-l-hatchback-2003-petrol-27050133.html,0,0,0,1,0,0,Germany,0,49,Toyota,Yaris,116.0,Low,1017
250,Gray / silver,Off-road / Crossover,1400,0,0,2000,All wheel (4х4),Diesel,0,0,0,5,285466,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/kia-sportage-2-0-l-off-road-crossover-2000-diesel-27148411.html,0,"9,1",0,0,0,0,0,0,0,Kia,Sportage,116.0,Low,1018
150,Blue,Wagon,1400,0,0,2009,Front wheel drive (FWD),Diesel,0,1,1,5,342000,Manual,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,https://en.autoplius.lt/ads/volvo-v50-2-0-l-wagon-2009-diesel-27185851.html,0,0,1,1,0,0,Italy,0,0,Volvo,V50,100.0,Low,1019
167,0,Coupe,1400,0,0,2007,Front wheel drive (FWD),Petrol,0,1,1,4,260000,Manual,1,1,1,0,"9,3",0,0,0,0,1,1,1,0,0,0,1,0,1,1,https://en.autoplius.lt/ads/volvo-c30-1-6-l-coupe-2007-petrol-26973633.html,1,7,1,1,0,1,Germany,0,57,Volvo,C30,74.0,Very Low,1020
0,Gray / silver,Saloon / sedan,1400,0,0,2002,Front wheel drive (FWD),Diesel,0,0,0,5,366106,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-s60-2-4-l-saloon-sedan-2002-diesel-27126641.html,0,0,0,0,0,0,France,0,0,Volvo,S60,120.0,Low,1021
132,Red / crimson,Wagon,1400,1,1,2007,Front wheel drive (FWD),Diesel,0,1,1,5,310000,Manual,0,1,1,0,"6,3",1,0,0,0,1,0,1,0,0,0,0,0,1,1,https://en.autoplius.lt/ads/volvo-v50-1-6-l-wagon-2007-diesel-26434510.html,1,"4,5",0,0,0,1,Denmark,0,43,Volvo,V50,81.0,Low,1022
223,Black,Wagon,1400,1,1,2005,Front wheel drive (FWD),Petrol,0,1,0,5,380000,Automatic,0,1,1,0,"14,9",0,0,1,0,1,0,1,0,1,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-v50-2-5-l-wagon-2005-petrol-27117869.html,1,0,1,0,0,1,0,1,75,Volvo,V50,162.0,Low,1023
148,Black,Saloon / sedan,1400,0,0,2005,Front wheel drive (FWD),Diesel,0,0,0,5,320000,Manual,0,0,0,0,"7,5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-s40-2-0-l-saloon-sedan-2005-diesel-27126101.html,0,"5,6",0,0,0,1,0,0,45,Volvo,S40,100.0,Low,1024
182,Gray / silver,Wagon,1400,0,0,2006,Front wheel drive (FWD),Diesel,0,1,1,5,374000,Automatic,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,https://en.autoplius.lt/ads/volkswagen-passat-2-0-l-wagon-2006-diesel-27188105.html,1,0,1,1,0,1,0,0,0,Volkswagen,Passat,103.0,Low,1025
224,Black,Hatchback,1400,0,1,2005,All wheel (4х4),Petrol,0,0,0,5,215000,Automatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://en.autoplius.lt/ads/audi-a4-2-0-l-saloon-sedan-2006-diesel-27218569.html,0,0,0,0,0,0,Germany,0,0,Audi,A3,184.0,Very Low,1026
173,Gray / silver,Off-road / Crossover,1400,0,0,2006,All wheel (4х4),Diesel,0,1,1,5,256000,Manual,0,0,0,0,"8,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/toyota-yaris-1-3-l-hatchback-2005-petrol-27230429.html,1,"6,6",0,0,0,0,Germany,0,56,Toyota,RAV4,100.0,Very Low,1027
153,Black,Saloon / sedan,1400,0,0,2006,Front wheel drive (FWD),Diesel,0,0,0,5,295000,Manual,0,0,0,0,"7,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a4-2-0-l-saloon-sedan-2006-diesel-27218569.html,0,"5,7",0,0,0,0,0,0,45,Audi,A4,103.0,Low,1028
133,Gray / silver,Hatchback,1400,0,0,2005,Front wheel drive (FWD),Petrol,0,0,0,5,170000,Manual,0,0,0,0,"6,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/toyota-yaris-1-3-l-hatchback-2005-petrol-27230429.html,0,"5,6",0,0,0,0,0,0,49,Toyota,Yaris,64.0,Very Low,1029
182,Gray / silver,Wagon,1400,0,0,2006,Front wheel drive (FWD),Diesel,0,1,1,5,374000,Automatic,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,https://en.autoplius.lt/ads/volkswagen-passat-2-0-l-wagon-2006-diesel-27188105.html,1,0,1,1,0,1,0,0,0,Volkswagen,Passat,103.0,Low,1030
129,Gray / silver,Hatchback,1400,1,0,2003,Front wheel drive (FWD),Petrol,0,1,0,5,100000,Automatic,0,1,0,0,"6,4",0,0,0,0,1,1,1,0,0,0,1,0,0,0,https://en.autoplius.lt/ads/toyota-yaris-1-0-l-hatchback-2003-petrol-27050133.html,0,0,0,1,0,0,Germany,0,49,Toyota,Yaris,116.0,Low,1031
112,Gray / silver,Hatchback,1400,0,0,1996,0,Diesel,0,0,0,0,361317,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volkswagen-golf-1-9-l-hatchback-1996-diesel-26977117.html,0,0,0,0,0,0,0,0,0,Volkswagen,Golf,66.0,Low,1032
129,Gray / silver,Hatchback,1400,1,0,2003,Front wheel drive (FWD),Petrol,0,1,0,5,100000,Automatic,0,1,0,0,"6,4",0,0,0,0,1,1,1,0,0,0,1,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,1,0,0,Germany,0,49,Toyota,Yaris,116.0,Low,1033
250,Gray / silver,Off-road / Crossover,1400,0,0,2000,All wheel (4х4),Diesel,0,0,0,5,285466,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"9,1",0,0,0,0,0,0,0,Kia,Sportage,116.0,Low,1034
150,Blue,Wagon,1400,0,0,2009,Front wheel drive (FWD),Diesel,0,1,1,5,342000,Manual,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,1,0,0,Italy,0,0,Volvo,V50,100.0,Low,1035
167,0,Coupe,1400,0,0,2007,Front wheel drive (FWD),Petrol,0,1,1,4,260000,Manual,1,1,1,0,"9,3",0,0,0,0,1,1,1,0,0,0,1,0,1,1,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,7,1,1,0,1,Germany,0,57,Volvo,C30,74.0,Very Low,1036
0,Gray / silver,Saloon / sedan,1400,0,0,2002,Front wheel drive (FWD),Diesel,0,0,0,5,366106,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,France,0,0,Volvo,S60,120.0,Low,1037
132,Red / crimson,Wagon,1400,1,1,2007,Front wheel drive (FWD),Diesel,0,1,1,5,310000,Manual,0,1,1,0,"6,3",1,0,0,0,1,0,1,0,0,0,0,0,1,1,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,"4,5",0,0,0,1,Denmark,0,43,Volvo,V50,81.0,Low,1038
223,Black,Wagon,1400,1,1,2005,Front wheel drive (FWD),Petrol,0,1,0,5,380000,Automatic,0,1,1,0,"14,9",0,0,1,0,1,0,1,0,1,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,0,1,0,0,1,0,1,75,Volvo,V50,162.0,Low,1039
148,Black,Saloon / sedan,1400,0,0,2005,Front wheel drive (FWD),Diesel,0,0,0,5,320000,Manual,0,0,0,0,"7,5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"5,6",0,0,0,1,0,0,45,Volvo,S40,100.0,Low,1040
