"CO2 emisija, g/km",Color,Body type,Price,Catalytic converter,Tinted windows,First registration,Driven wheels,Fuel type,LED headlights,ESP,Fog lights,Number of seats,Mileage,Gearbox,Alarm,Electric mirrors,Heated mirrors,Lane Departure Warning,Fuel consuption Urban l/100 km,Boot cover,Start-Stop system,Tow hook,LED daytime running lights,Immobilizer,Hill-start assist control,Multifunctional steering wheel,Adaptive Cruise Control,Automatic headlamps,LCD monitor,MP3 player,Road sign recognition,Dimming mirror,AUX input,URL,ISOFIX mounts,Fuel consuption combined l/100 km,Rainfall sensor,Traction control system,Rear view camera,Cruise control,First registration country,Electric seats,Fuel consuption out-of-city l/100 km,Make,Model,Engine Power KW,Engine size in Cm3,car_id
179,Gray / silver,Wagon,440,1,1,2001,Front wheel drive (FWD),Diesel,0,1,1,5,245000,Manual,1,1,1,0,8,1,0,1,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,1,0,1,Germany,1,0,Audi,A6,110.0,Very Low,13
179,Gray / silver,Wagon,440,1,1,2001,Front wheel drive (FWD),Diesel,0,1,1,5,245000,Manual,1,1,1,0,8,1,0,1,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,1,0,1,Germany,1,0,Audi,A6,110.0,Very Low,14
179,Gray / silver,Wagon,440,1,1,2001,Front wheel drive (FWD),Diesel,0,1,1,5,245000,Manual,1,1,1,0,8,1,0,1,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,1,0,1,Germany,1,0,Audi,A6,110.0,Very Low,15
179,Gray / silver,Wagon,440,1,1,2001,Front wheel drive (FWD),Diesel,0,1,1,5,245000,Manual,1,1,1,0,8,1,0,1,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,1,0,1,Germany,1,0,Audi,A6,110.0,Very Low,16
207,Blue,Saloon / sedan,550,0,0,2001,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,209000,Manual,0,0,0,0,"8,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-s60-2-4-l-saloon-sedan-2001-petrol-gas-27201711.html,0,"6,5",0,0,0,0,0,0,52,Volvo,S60,103.0,Low,17
129,Blue,Hatchback,550,1,1,2007,Front wheel drive (FWD),Petrol,0,1,1,5,175000,Manual,1,1,1,0,4,1,0,0,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/volkswagen-polo-1-5-l-hatchback-2007-petrol-27226817.html,1,0,1,1,0,0,Czech Republic,0,0,Volkswagen,Polo,51.0,Very Low,18
158,Black,Saloon / sedan,550,0,0,1995,Front wheel drive (FWD),Petrol,0,0,0,5,203300,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a4-1-6-l-saloon-sedan-1995-petrol-27036309.html,0,0,0,0,0,0,Germany,0,0,Audi,A4,74.0,Very Low,19
265,Black,Wagon,550,0,0,1996,Front wheel drive (FWD),Diesel,0,0,0,5,300000,Manual,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-1996-diesel-26744635.html,0,0,0,0,0,0,Lithuania,0,0,Audi,A6,85.0,Very Low,20
207,Blue,Saloon / sedan,550,0,0,2001,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,209000,Manual,0,0,0,0,"8,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,5",0,0,0,0,0,0,52,Volvo,S60,103.0,Low,21
129,Blue,Hatchback,550,1,1,2007,Front wheel drive (FWD),Petrol,0,1,1,5,175000,Manual,1,1,1,0,4,1,0,0,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,0,1,1,0,0,Czech Republic,0,0,Volkswagen,Polo,51.0,Very Low,22
158,Black,Saloon / sedan,550,0,0,1995,Front wheel drive (FWD),Petrol,0,0,0,5,203300,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Germany,0,0,Audi,A4,74.0,Very Low,23
265,Black,Wagon,550,0,0,1996,Front wheel drive (FWD),Diesel,0,0,0,5,300000,Manual,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Lithuania,0,0,Audi,A6,85.0,Very Low,24
207,Blue,Saloon / sedan,550,0,0,2001,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,209000,Manual,0,0,0,0,"8,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,5",0,0,0,0,0,0,52,Volvo,S60,103.0,Low,25
129,Blue,Hatchback,550,1,1,2007,Front wheel drive (FWD),Petrol,0,1,1,5,175000,Manual,1,1,1,0,4,1,0,0,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,0,1,1,0,0,Czech Republic,0,0,Volkswagen,Polo,51.0,Very Low,26
158,Black,Saloon / sedan,550,0,0,1995,Front wheel drive (FWD),Petrol,0,0,0,5,203300,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Germany,0,0,Audi,A4,74.0,Very Low,27
